name,cr,ac,hp,init,att_num,hit_mod,dam_avg
Aboleth,10,17,135,-1.09,3,9,12
Acolyte,0.25,10,9,0.1,1,2,2
Adult Black Dragon,14,19,195,2.14,3,11,14
Adult Blue Dracolich,17,19,225,0.1,3,12,15
Adult Blue Dragon,16,19,225,0.1,3,12,15
Adult Brass Dragon,13,18,172,0.1,3,11,14
Adult Bronze Dragon,15,19,212,0.1,3,12,15
Adult Copper Dragon,14,18,184,1.12,3,11,14
Adult Gold Dragon,17,19,256,2.14,3,14,16
Adult Green Dragon,15,19,207,1.12,3,11,14
Adult Red Dragon,17,19,256,0.1,3,14,16
Adult Silver Dragon,16,19,243,0.1,3,13,16
Adult White Dragon,13,18,200,0.1,3,11,14
Air Elemental,5,15,90,5.02,2,8,14
Ancient Black Dragon,21,22,367,2.14,3,15,16
Ancient Blue Dragon,23,22,481,0.1,3,16,17
Ancient Brass Dragon,20,20,297,0.1,3,14,16
Ancient Bronze Dragon,22,22,444,0.1,3,16,17
Ancient Copper Dragon,21,21,350,1.12,3,15,16
Ancient Gold Dragon,24,22,546,2.14,3,17,18
Ancient Green Dragon,22,21,385,1.12,3,15,21
Ancient Red Dragon,24,22,546,0.1,3,17,18
Ancient Silver Dragon,23,22,487,0.1,3,17,18
Ancient White Dragon,20,20,333,0.1,3,14,16
Androsphinx,17,17,199,0.1,2,12,17
Animated Armor,1,18,33,0.11,2,4,5
Ankheg,2,14,39,0.11,1,5,10
Ape,0.5,12,19,2.14,2,5,6
Archmage,12,12,99,2.14,1,6,4
Assassin,8,15,78,3.16,2,6,6
Awakened Shrub,0,9,10,-1.8,1,1,1
Awakened Tree,2,13,59,-2.6,1,6,14
Axe Beak,0.25,11,19,1.12,1,4,6
Azer,2,17,39,1.12,1,5,7
Baboon,0,12,3,2.14,1,1,1
Badger,0,10,3,0.11,1,2,1
Balor,19,19,262,2.15,2,2,1
Bandit,0.125,12,11,1.12,1,3,4
Bandit Captain,2,15,65,3.16,2,3,4
Barbed Devil,5,15,110,3.17,3,3,4
Basilisk,3,12,52,-1.8,1,5,10
Bat,0,12,1,2.15,1,0,1
Bearded Devil,3,13,52,2.15,2,0,1
Behir,11,17,168,3.16,2,0,1
Berserker,2,13,67,1.12,1,5,9
Black Bear,0.5,11,19,0.1,2,5,9
Black Dragon Wyrmling,2,17,33,2.14,1,4,7
Black Pudding,4,7,85,-3.5,1,5,6
Blink Dog,0.25,13,22,3.17,1,3,4
Blood Hawk,0.125,12,7,2.14,1,4,4
Blue Dragon Wyrmling,3,17,52,0.1,1,5,8
Boar,0.25,11,11,0.11,1,5,8
Bone Devil,12,19,142,3.16,3,5,8
Brass Dragon Wyrmling,1,16,16,0.1,1,4,7
Bronze Dragon Wyrmling,2,17,32,0.1,1,5,8
Brown Bear,1,11,34,0.1,2,5,8
Bugbear,1,16,27,2.14,1,4,9
Bulette,5,17,94,0.11,1,7,30
Camel,0.125,9,15,-1.8,1,5,2
Carrion Crawler,2,13,51,1.13,2,5,2
Cat,0,12,2,2.15,1,0,1
Cave Bear,2,12,42,0.1,2,0,1
Centaur,2,12,45,2.14,2,0,1
Chain Devil,11,16,85,2.15,2,0,1
Chimera,6,14,114,0.11,3,0,1
Chuul,4,16,93,0.1,2,0,1
Clay Golem,9,14,133,-1.9,2,0,1
Cloaker,8,14,78,2.15,2,0,1
Cloud Giant,9,14,200,0.1,2,0,1
Cockatrice,0.5,11,27,1.12,1,3,3
Commoner,0,10,4,0.1,1,2,2
Constrictor Snake,0.25,12,13,2.14,1,4,6
Copper Dragon Wyrmling,1,16,22,1.12,1,4,7
Couatl,4,19,97,5.2,1,6,10
Crab,0,11,2,0.11,1,0,1
Crocodile,0.5,12,19,0.1,1,4,7
Cult Fanatic,2,13,22,2.14,2,4,7
Cultist,0.125,12,9,1.12,1,3,4
Darkmantle,0.5,11,22,1.12,1,5,6
Death Dog,1,12,39,2.14,2,5,6
Deep Gnome (Svirfneblin),0.5,15,16,2.14,1,4,6
Deer,0,13,4,3.16,1,2,2
Deva,10,17,136,4.18,2,2,2
Dire Wolf,1,14,37,2.15,1,5,10
Djinni,11,17,161,2.15,3,5,10
Doppelganger,3,14,52,4.18,2,5,10
Draft Horse,0.25,10,19,0.1,1,6,9
Dragon Turtle,17,20,341,0.1,3,13,19
Dretch,0.25,11,18,0.11,2,6,9
Drider,6,19,123,3.16,3,6,9
Drow,0.25,15,13,2.14,1,4,5
Druid,2,11,27,1.12,1,2,3
Dryad,1,11,22,1.12,1,2,2
