,cr,ac,hp,init,att_num,hit_mod,dam_avg,name,pair_wins,total_wins
0,0.0,11,3,1,1,2,2,0.0,0.0,1.0
1,0.125,12,8,2,1,4,4,0.125,1.0,114.0
2,0.25,12,15,1,1,4,6,0.25,2.0,230.0
3,0.5,12,20,1,1,4,7,0.5,3.0,285.0
4,1.0,13,28,2,1,4,7,1.0,4.0,375.0
5,2.0,13,47,1,1,4,8,2.0,5.0,496.0
6,3.0,14,59,1,2,5,10,3.0,8.0,806.0
7,4.0,13,83,1,1,4,9,4.0,6.0,618.0
8,5.0,15,99,1,2,5,11,5.0,12.0,1112.0
9,6.0,15,109,1,2,6,9,6.0,11.0,1096.0
10,7.0,16,130,1,2,5,10,7.0,13.0,1289.0
11,8.0,15,121,1,3,6,9,8.0,14.0,1464.0
12,9.0,16,159,0,2,3,7,9.0,10.0,1041.0
13,10.0,18,155,1,2,7,9,10.0,16.0,1596.0
14,11.0,17,168,2,2,5,10,11.0,15.0,1517.0
15,12.0,16,131,3,2,4,7,12.0,9.0,990.0
16,13.0,17,173,2,2,8,8,13.0,17.0,1604.0
17,14.0,18,186,2,3,11,13,14.0,20.0,1989.0
18,15.0,18,191,0,2,8,9,15.0,18.0,1781.0
19,16.0,19,213,2,3,9,11,16.0,19.0,1958.0
20,17.0,19,255,1,3,11,14,17.0,22.0,2192.0
21,19.0,19,262,2,2,2,1,19.0,7.0,685.0
22,20.0,20,310,1,3,14,17,20.0,24.0,2411.0
23,21.0,20,274,3,2,12,12,21.0,21.0,2061.0
24,22.0,22,414,1,3,16,19,22.0,26.0,2601.0
25,23.0,21,480,0,3,12,13,23.0,25.0,2468.0
26,24.0,22,546,1,3,17,18,24.0,27.0,2699.0
27,30.0,25,676,0,5,3,10,30.0,23.0,2321.0
