,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,type,match_wins,round_wins,calc_wins
0,CR 1/8,0.125,13,20,0,1,3,2,single monster,0.0,0.0,0.0
1,CR 1/4,0.25,13,35,0,1,3,5,single monster,1.0,106.0,3.0
2,CR 1/2,0.5,13,50,0,1,3,8,single monster,2.0,244.0,6.0
3,CR 1,1.0,13,75,0,1,3,12,single monster,4.0,472.0,9.0
4,CR 2,2.0,13,90,0,1,3,15,single monster,7.0,677.0,14.0
5,CR 3,3.0,13,105,0,1,4,25,single monster,10.0,1023.0,19.0
6,CR 4,4.0,14,120,0,1,5,30,single monster,14.0,1354.0,27.0
7,CR 5,5.0,15,135,0,1,6,35,single monster,17.0,1750.0,34.0
8,CR 6,6.0,15,150,0,2,6,20,single monster,21.0,2018.0,32.0
9,CR 7,7.0,15,165,0,2,6,23,single monster,23.0,2263.0,34.0
10,CR 8,8.0,16,180,0,2,7,28,single monster,26.0,2671.0,41.0
11,CR 9,9.0,16,195,0,2,7,30,single monster,28.0,2836.0,42.0
12,CR 10,10.0,17,210,0,2,7,32,single monster,33.0,3210.0,48.0
13,CR 11,11.0,17,225,0,3,8,24,single monster,35.0,3591.0,51.0
14,CR 12,12.0,17,240,0,3,8,26,single monster,37.0,3793.0,52.0
15,CR 13,13.0,18,255,0,3,8,28,single monster,41.0,4154.0,58.0
16,CR 14,14.0,18,270,0,3,8,30,single monster,46.0,4405.0,59.0
17,CR 15,15.0,18,285,0,3,8,32,single monster,47.0,4553.0,59.0
18,CR 16,16.0,18,300,0,4,9,25,single monster,48.0,4755.0,58.0
19,CR 17,17.0,19,315,0,4,10,27,single monster,49.0,5057.0,65.0
20,CR 18,18.0,19,330,0,4,10,29,single monster,52.0,5172.0,64.0
21,CR 19,19.0,19,345,0,4,10,31,single monster,53.0,5312.0,64.0
22,CR 20,20.0,19,360,0,4,10,33,single monster,55.0,5437.0,65.0
23,CR 21,21.0,19,405,0,5,11,28,single monster,59.0,5816.0,65.0
24,CR 22,22.0,19,450,0,5,11,32,single monster,62.0,6146.0,66.0
25,CR 23,23.0,19,500,0,5,11,36,single monster,64.0,6377.0,66.0
26,CR 24,24.0,19,540,0,5,12,39,single monster,66.0,6558.0,65.0
27,CR 25,25.0,19,585,0,5,12,43,single monster,67.0,6707.0,64.0
28,CR 26,26.0,19,630,0,5,12,47,single monster,68.0,6801.0,63.0
29,CR 27,27.0,19,675,0,5,13,50,single monster,69.0,6902.0,62.0
30,CR 28,28.0,19,720,0,5,13,54,single monster,70.0,6997.0,63.0
31,CR 29,29.0,19,765,0,5,13,57,single monster,71.0,7081.0,63.0
32,CR 30,30.0,19,810,0,5,14,61,single monster,72.0,7159.0,63.0
33,Party 1,1.0,18,48,0,4,5,7,party of 4 fighters,9.0,967.0,24.0
34,Party 2,2.0,18,80,0,4,5,7,party of 4 fighters,12.0,1270.0,28.0
35,Party 3,3.0,18,112,0,4,5,7,party of 4 fighters,16.0,1593.0,28.0
36,Party 4,4.0,18,144,0,4,5,7,party of 4 fighters,19.0,1851.0,29.0
37,Party 5,5.0,18,176,0,8,6,7,party of 4 fighters,27.0,2772.0,37.0
38,Party 6,6.0,19,212,0,8,7,8,party of 4 fighters,34.0,3448.0,47.0
39,Party 7,7.0,19,248,0,8,7,8,party of 4 fighters,36.0,3667.0,46.0
40,Party 8,8.0,19,284,0,8,7,8,party of 4 fighters,38.0,3877.0,46.0
41,Party 9,9.0,19,320,0,8,8,8,party of 4 fighters,43.0,4261.0,46.0
42,Party 10,10.0,19,356,0,8,8,8,party of 4 fighters,45.0,4464.0,45.0
43,Party 11,11.0,20,392,0,12,8,8,party of 4 fighters,50.0,5018.0,45.0
44,Party 12,12.0,20,428,0,12,8,8,party of 4 fighters,51.0,5131.0,44.0
45,Party 13,13.0,20,464,0,12,9,8,party of 4 fighters,54.0,5369.0,43.0
46,Party 14,14.0,20,504,0,12,9,9,party of 4 fighters,56.0,5619.0,43.0
47,Party 15,15.0,20,544,0,12,9,9,party of 4 fighters,57.0,5704.0,42.0
48,Party 16,16.0,20,584,0,12,9,9,party of 4 fighters,58.0,5804.0,42.0
49,Party 17,17.0,20,624,0,12,10,9,party of 4 fighters,60.0,6075.0,42.0
50,Party 18,18.0,20,664,0,12,10,9,party of 4 fighters,61.0,6137.0,41.0
51,Party 19,19.0,20,704,0,12,10,9,party of 4 fighters,63.0,6231.0,41.0
52,Party 20,20.0,20,744,0,16,10,9,party of 4 fighters,65.0,6536.0,40.0
53,Wizards 1,1.0,12,24,0,4,5,5,party of 4 wizards,3.0,276.0,4.0
54,Wizards 2,2.0,12,40,0,4,5,5,party of 4 wizards,5.0,467.0,4.0
55,Wizards 3,3.0,12,56,0,4,5,5,party of 4 wizards,6.0,631.0,6.0
56,Wizards 4,4.0,12,72,0,4,5,5,party of 4 wizards,8.0,754.0,6.0
57,Wizards 5,5.0,12,88,0,4,6,9,party of 4 wizards,11.0,1151.0,12.0
58,Wizards 6,6.0,12,104,0,4,6,9,party of 4 wizards,13.0,1310.0,14.0
59,Wizards 7,7.0,12,124,0,4,7,9,party of 4 wizards,15.0,1590.0,15.0
60,Wizards 8,8.0,12,144,0,4,7,9,party of 4 wizards,18.0,1752.0,15.0
61,Wizards 9,9.0,12,164,0,4,8,9,party of 4 wizards,20.0,2006.0,17.0
62,Wizards 10,10.0,12,184,0,4,8,9,party of 4 wizards,22.0,2138.0,18.0
63,Wizards 11,11.0,12,204,0,4,8,13,party of 4 wizards,24.0,2487.0,18.0
64,Wizards 12,12.0,12,224,0,4,8,13,party of 4 wizards,25.0,2614.0,17.0
65,Wizards 13,13.0,12,244,0,4,9,13,party of 4 wizards,29.0,2806.0,17.0
66,Wizards 14,14.0,12,264,0,4,9,13,party of 4 wizards,30.0,2942.0,17.0
67,Wizards 15,15.0,12,284,0,4,9,13,party of 4 wizards,31.0,3022.0,16.0
