,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
0,Aboleth,10.0,17,135,-1.09,3,9,12,287.0,28550.0,300.0
1,Acolyte,0.25,10,9,0.1,1,2,2,30.0,3014.0,29.0
2,Adult Black Dragon,14.0,19,195,2.14,3,11,14,301.0,30055.0,319.0
3,Adult Blue Dracolich,17.0,19,225,0.1,3,12,15,305.0,30486.0,321.0
4,Adult Blue Dragon,16.0,19,225,0.1,3,12,15,306.0,30501.0,320.0
5,Adult Brass Dragon,13.0,18,172,0.1,3,11,14,298.0,29756.0,303.0
6,Adult Bronze Dragon,15.0,19,212,0.1,3,12,15,304.0,30433.0,316.0
7,Adult Copper Dragon,14.0,18,184,1.12,3,11,14,299.0,29926.0,301.0
8,Adult Gold Dragon,17.0,19,256,2.14,3,14,16,310.0,30895.0,318.0
9,Adult Green Dragon,15.0,19,207,1.12,3,11,14,303.0,30169.0,312.0
10,Adult Red Dragon,17.0,19,256,0.1,3,14,16,309.0,30867.0,316.0
11,Adult Silver Dragon,16.0,19,243,0.1,3,13,16,307.0,30761.0,315.0
12,Adult White Dragon,13.0,18,200,0.1,3,11,14,300.0,29970.0,299.0
13,Air Elemental,5.0,15,90,5.02,2,8,14,264.0,26504.0,269.0
14,Ancient Black Dragon,21.0,22,367,2.14,3,15,16,315.0,31477.0,314.0
15,Ancient Blue Dragon,23.0,22,481,0.1,3,16,17,319.0,31858.0,314.0
16,Ancient Brass Dragon,20.0,20,297,0.1,3,14,16,311.0,31109.0,312.0
17,Ancient Bronze Dragon,22.0,22,444,0.1,3,16,17,318.0,31799.0,312.0
18,Ancient Copper Dragon,21.0,21,350,1.12,3,15,16,313.0,31348.0,310.0
19,Ancient Gold Dragon,24.0,22,546,2.14,3,17,18,322.0,32137.0,313.0
20,Ancient Green Dragon,22.0,21,385,1.12,3,15,21,317.0,31712.0,309.0
21,Ancient Red Dragon,24.0,22,546,0.1,3,17,18,321.0,32132.0,311.0
22,Ancient Silver Dragon,23.0,22,487,0.1,3,17,18,320.0,32005.0,309.0
23,Ancient White Dragon,20.0,20,333,0.1,3,14,16,312.0,31209.0,305.0
24,Androsphinx,17.0,17,199,0.1,2,12,17,295.0,29601.0,297.0
25,Animated Armor,1.0,18,33,0.11,2,4,5,183.0,18044.0,227.0
26,Ankheg,2.0,14,39,0.11,1,5,13,184.0,18149.0,193.0
27,Ape,0.5,12,19,2.14,2,5,6,134.0,13187.0,137.0
28,Archmage,12.0,12,99,2.14,1,6,4,167.0,16599.0,157.0
29,Assassin,8.0,15,78,3.16,2,6,21,268.0,26648.0,275.0
30,Awakened Shrub,0.0,9,10,-1.8,1,1,1,22.0,2317.0,23.0
31,Awakened Tree,2.0,13,59,-2.6,1,6,14,209.0,20777.0,214.0
32,Axe Beak,0.25,11,19,1.12,1,4,6,89.0,8999.0,91.0
33,Azer,2.0,17,39,1.12,1,5,7,165.0,16571.0,203.0
34,Baboon,0.0,12,3,2.14,1,1,1,16.0,1520.0,15.0
35,Badger,0.0,10,3,0.11,1,2,1,14.0,1497.0,13.0
36,Balor,19.0,19,262,2.15,2,2,1,205.0,20504.0,268.0
37,Bandit,0.125,12,11,1.12,1,3,4,49.0,5173.0,52.0
38,Bandit Captain,2.0,15,65,3.16,3,5,6,225.0,22543.0,235.0
39,Barbed Devil,5.0,15,110,3.17,3,3,4,222.0,22283.0,241.0
40,Basilisk,3.0,12,52,-1.8,1,5,10,177.0,17494.0,180.0
41,Bat,0.0,12,1,2.15,1,0,1,3.0,641.0,6.0
42,Bearded Devil,3.0,13,52,2.15,2,0,1,78.0,7755.0,98.0
43,Behir,11.0,17,168,3.16,2,0,1,150.0,14995.0,206.0
44,Berserker,2.0,13,67,1.12,1,5,9,192.0,19025.0,193.0
45,Black Bear,0.5,11,19,0.1,2,5,9,147.0,14710.0,150.0
46,Black Dragon Wyrmling,2.0,17,33,2.14,1,4,7,152.0,15506.0,186.0
47,Black Pudding,4.0,7,85,-3.5,1,5,6,155.0,15655.0,152.0
48,Blink Dog,0.25,13,22,3.17,1,3,4,84.0,8409.0,92.0
49,Blood Hawk,0.125,12,7,2.14,1,4,4,38.0,4223.0,39.0
50,Blue Dragon Wyrmling,3.0,17,52,0.1,1,5,8,192.0,19064.0,219.0
51,Boar,0.25,11,11,0.11,1,5,8,79.0,8169.0,76.0
52,Bone Devil,12.0,19,142,3.16,3,5,8,274.0,27516.0,297.0
53,Brass Dragon Wyrmling,1.0,16,16,0.1,1,4,7,109.0,11137.0,128.0
54,Bronze Dragon Wyrmling,2.0,17,32,0.1,1,5,8,164.0,16465.0,191.0
55,Brown Bear,1.0,11,34,0.1,2,5,8,176.0,17357.0,166.0
56,Bugbear,1.0,16,27,2.14,1,4,9,148.0,15049.0,175.0
57,Bulette,5.0,17,94,0.11,1,7,30,272.0,27022.0,280.0
58,Camel,0.125,9,15,-1.8,1,5,2,36.0,3747.0,35.0
59,Cat,0.0,12,2,2.15,1,0,1,13.0,1107.0,12.0
60,Cave Bear,2.0,12,42,0.1,2,0,1,60.0,6270.0,79.0
61,Centaur,2.0,12,45,2.14,2,0,1,66.0,6708.0,82.0
62,Chain Devil,11.0,16,85,2.15,2,0,1,112.0,11397.0,151.0
63,Chimera,6.0,14,114,0.11,3,0,1,141.0,13885.0,162.0
64,Chuul,4.0,16,93,0.1,2,0,1,118.0,11862.0,149.0
65,Clay Golem,9.0,14,133,-1.9,2,0,1,128.0,12596.0,148.0
66,Cloaker,8.0,14,78,2.15,2,0,1,98.0,9904.0,121.0
67,Cloud Giant,9.0,14,200,0.1,2,0,1,144.0,14499.0,168.0
68,Cockatrice,0.5,11,27,1.12,1,3,3,73.0,7078.0,71.0
69,Commoner,0.0,10,4,0.1,1,2,2,20.0,2150.0,19.0
70,Constrictor Snake,0.25,12,13,2.14,1,4,6,78.0,7821.0,78.0
71,Copper Dragon Wyrmling,1.0,16,22,1.12,1,4,7,131.0,12856.0,147.0
72,Couatl,4.0,19,97,5.2,1,6,10,239.0,23988.0,282.0
73,Crab,0.0,11,2,0.11,1,0,1,11.0,1005.0,11.0
74,Crocodile,0.5,12,19,0.1,1,4,7,97.0,9884.0,101.0
75,Cult Fanatic,2.0,13,22,2.14,2,4,7,150.0,15046.0,143.0
76,Cultist,0.125,12,9,1.12,1,3,4,46.0,4677.0,46.0
77,Darkmantle,0.5,11,22,1.12,1,5,6,104.0,10168.0,95.0
78,Death Dog,1.0,12,39,2.14,2,5,6,167.0,16936.0,160.0
79,Deep Gnome (Svirfneblin),0.5,15,16,2.14,1,4,6,101.0,10019.0,111.0
80,Deer,0.0,13,4,3.16,1,2,2,26.0,2449.0,28.0
81,Deva,10.0,17,136,4.18,2,2,2,191.0,19091.0,225.0
82,Dire Wolf,1.0,14,37,2.15,1,5,10,168.0,16848.0,177.0
83,Djinni,11.0,17,161,2.15,3,5,10,279.0,27898.0,291.0
84,Doppelganger,3.0,14,52,4.18,2,5,10,219.0,21818.0,221.0
85,Draft Horse,0.25,10,19,0.1,1,6,9,111.0,11110.0,101.0
86,Dragon Turtle,17.0,20,341,0.1,3,13,19,314.0,31385.0,304.0
87,Dretch,0.25,11,18,0.11,2,6,9,143.0,14655.0,127.0
88,Drider,6.0,19,123,3.16,3,6,9,277.0,27703.0,295.0
89,Drow,0.25,15,13,2.14,1,4,5,83.0,8331.0,90.0
90,Druid,2.0,11,27,1.12,1,2,3,66.0,6634.0,70.0
91,Dryad,1.0,11,22,1.12,1,2,2,46.0,4594.0,47.0
92,Duergar,1.0,16,26,0.11,1,4,5,121.0,11960.0,135.0
93,Dust Mephit,0.5,12,17,2.14,1,4,4,71.0,7217.0,72.0
94,Eagle,0.0,12,3,2.15,1,4,4,29.0,2922.0,29.0
95,Earth Elemental,5.0,17,126,-1.08,2,8,14,277.0,27776.0,282.0
96,Efreeti,11.0,17,200,1.12,2,4,4,240.0,24017.0,268.0
97,Elephant,4.0,12,76,-1.9,1,8,22,240.0,23735.0,233.0
98,Elk,0.25,10,13,0.1,1,0,8,60.0,6508.0,75.0
99,Erinyes,12.0,18,153,3.16,3,0,8,250.0,25075.0,289.0
100,Ettercap,2.0,13,44,2.15,2,0,8,171.0,16878.0,191.0
101,Ettin,4.0,12,85,-1.8,2,0,8,201.0,19818.0,214.0
102,Fire Elemental,5.0,13,102,3.17,2,6,10,242.0,24380.0,240.0
103,Fire Giant,9.0,18,162,-1.9,2,0,8,239.0,23920.0,285.0
104,Flesh Golem,5.0,9,93,-1.9,2,0,8,196.0,19258.0,203.0
105,Flying Snake,0.125,14,5,4.18,1,6,1,27.0,2597.0,22.0
106,Flying Sword,0.25,17,17,2.15,1,3,5,103.0,10266.0,131.0
107,Frog,0.0,11,1,1.13,1,3,5,12.0,1795.0,22.0
108,Frost Giant,8.0,15,138,-1.9,2,3,5,226.0,22386.0,236.0
109,Gargoyle,2.0,15,52,0.11,2,3,5,178.0,18025.0,189.0
110,Gelatinous Cube,2.0,6,84,-4.3,1,4,10,177.0,17580.0,166.0
111,Ghast,2.0,13,36,3.17,1,5,10,160.0,16083.0,159.0
112,Ghost,4.0,11,45,1.13,1,5,17,195.0,19276.0,191.0
113,Ghoul,1.0,12,22,2.15,1,0,7,92.0,9033.0,112.0
114,Giant Ape,7.0,12,157,2.14,2,0,7,218.0,21744.0,236.0
115,Giant Badger,0.25,10,13,0.1,2,0,7,87.0,8878.0,87.0
116,Giant Bat,0.25,13,22,3.16,1,4,5,97.0,9741.0,100.0
117,Giant Boar,2.0,12,42,0.1,1,5,10,164.0,16390.0,154.0
118,Giant Centipede,0.25,13,4,2.14,1,5,10,48.0,5329.0,55.0
119,Giant Constrictor Snake,2.0,12,60,2.14,1,6,13,206.0,20300.0,197.0
120,Giant Crab,0.125,15,13,2.15,1,3,4,66.0,7010.0,80.0
121,Giant Crocodile,5.0,14,85,-1.9,2,3,4,193.0,19122.0,187.0
122,Giant Eagle,1.0,13,26,3.17,2,3,4,123.0,12404.0,123.0
123,Giant Elk,2.0,15,42,3.16,1,6,22,220.0,21935.0,225.0
124,Giant Fire Beetle,0.0,13,4,0.1,1,1,2,24.0,2307.0,26.0
125,Giant Frog,0.25,11,18,1.13,1,3,4,62.0,6499.0,65.0
126,Giant Goat,0.5,11,19,0.11,1,5,8,106.0,10628.0,104.0
127,Giant Hyena,1.0,12,45,2.14,1,5,10,170.0,16911.0,167.0
