,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
0,Party 1,1,18,48,0,4,5,7,0.0,9.0,4.0
1,Party 2,2,18,80,0,4,5,7,1.0,103.0,3.0
2,Party 3,3,18,112,0,4,5,7,2.0,205.0,2.0
3,Party 4,4,18,144,0,4,5,7,3.0,283.0,3.0
4,Party 5,5,18,176,0,8,6,7,4.0,400.0,10.0
5,Party 6,6,19,212,0,8,7,8,5.0,540.0,17.0
6,Party 7,7,19,248,0,8,7,8,6.0,594.0,16.0
7,Party 8,8,19,284,0,8,7,8,7.0,689.0,16.0
8,Party 9,9,19,320,0,8,8,8,8.0,803.0,15.0
9,Party 10,10,19,356,0,8,8,8,9.0,874.0,14.0
10,Party 11,11,20,392,0,12,8,8,10.0,1030.0,13.0
11,Party 12,12,20,428,0,12,8,8,11.0,1086.0,12.0
12,Party 13,13,20,464,0,12,9,8,12.0,1196.0,11.0
13,Party 14,14,20,504,0,12,9,9,13.0,1321.0,10.0
14,Party 15,15,20,544,0,12,9,9,14.0,1419.0,9.0
15,Party 16,16,20,584,0,12,9,9,15.0,1467.0,9.0
16,Party 17,17,20,624,0,12,10,9,16.0,1641.0,8.0
17,Party 18,18,20,664,0,12,10,9,17.0,1698.0,7.0
18,Party 19,19,20,704,0,12,10,9,18.0,1742.0,6.0
19,Party 20,20,20,744,0,16,10,9,19.0,1900.0,5.0
