,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
0,CR 1/8,0.125,13,20,0,1,3,2,0.0,0.0,0.0
1,CR 1/4,0.25,13,35,0,1,3,5,1.0,100.0,1.0
2,CR 1/2,0.5,13,50,0,1,3,8,2.0,200.0,2.0
3,CR 1,1.0,13,75,0,1,3,12,3.0,310.0,3.0
4,CR 2,2.0,13,90,0,1,3,15,4.0,398.0,4.0
5,CR 3,3.0,13,105,0,1,4,25,5.0,504.0,5.0
6,CR 4,4.0,14,120,0,1,5,30,6.0,610.0,7.0
7,CR 5,5.0,15,135,0,1,6,35,7.0,718.0,9.0
8,CR 6,6.0,15,150,0,2,6,20,8.0,815.0,7.0
9,CR 7,7.0,15,165,0,2,6,23,9.0,869.0,9.0
10,CR 8,8.0,16,180,0,2,7,28,10.0,1027.0,13.0
11,CR 9,9.0,16,195,0,2,7,30,11.0,1115.0,12.0
12,CR 10,10.0,17,210,0,2,7,32,12.0,1181.0,15.0
13,CR 11,11.0,17,225,0,3,8,24,13.0,1347.0,15.0
14,CR 12,12.0,17,240,0,3,8,26,14.0,1395.0,14.0
15,CR 13,13.0,18,255,0,3,8,28,15.0,1518.0,18.0
16,CR 14,14.0,18,270,0,3,8,30,16.0,1608.0,19.0
17,CR 15,15.0,18,285,0,3,8,32,17.0,1674.0,19.0
18,CR 16,16.0,18,300,0,4,9,25,18.0,1772.0,18.0
19,CR 17,17.0,19,315,0,4,10,27,19.0,1935.0,25.0
20,CR 18,18.0,19,330,0,4,10,29,20.0,2018.0,24.0
21,CR 19,19.0,19,345,0,4,10,31,21.0,2077.0,24.0
22,CR 20,20.0,19,360,0,4,10,33,22.0,2150.0,25.0
23,CR 21,21.0,19,405,0,5,11,28,23.0,2287.0,25.0
24,CR 22,22.0,19,450,0,5,11,32,24.0,2408.0,26.0
25,CR 23,23.0,19,500,0,5,11,36,25.0,2495.0,26.0
26,CR 24,24.0,19,540,0,5,12,39,26.0,2614.0,25.0
27,CR 25,25.0,19,585,0,5,12,43,27.0,2711.0,24.0
28,CR 26,26.0,19,630,0,5,12,47,28.0,2790.0,23.0
29,CR 27,27.0,19,675,0,5,13,50,29.0,2912.0,22.0
30,CR 28,28.0,19,720,0,5,13,54,30.0,3009.0,23.0
31,CR 29,29.0,19,765,0,5,13,57,31.0,3070.0,23.0
32,CR 30,30.0,19,810,0,5,14,61,32.0,3163.0,23.0
