,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
0,CR 1,1,13,75,0,1,3,12,0.0,0.0,0.0
1,CR 2,2,13,150,0,2,3,12,1.0,100.0,2.0
2,CR 3,3,13,225,0,3,3,12,2.0,200.0,4.0
3,CR 4,4,14,300,0,4,3,12,3.0,300.0,7.0
4,CR 5,5,15,375,0,5,3,12,4.0,402.0,9.0
5,CR 6,6,15,450,0,6,3,12,5.0,499.0,10.0
6,CR 7,7,15,525,0,7,3,12,6.0,602.0,12.0
7,CR 8,8,16,600,0,8,3,12,7.0,702.0,11.0
8,CR 9,9,16,675,0,9,3,12,8.0,796.0,14.0
9,CR 10,10,17,750,0,10,3,12,9.0,908.0,24.0
10,CR 11,11,17,825,0,11,3,12,10.0,1002.0,23.0
11,CR 12,12,17,900,0,12,3,12,11.0,1089.0,22.0
12,CR 13,13,18,975,0,13,3,12,12.0,1208.0,22.0
13,CR 14,14,18,1050,0,14,3,12,13.0,1302.0,21.0
14,CR 15,15,18,1125,0,15,3,12,14.0,1408.0,21.0
15,CR 16,16,18,1200,0,16,3,12,15.0,1482.0,20.0
16,CR 17,17,19,1275,0,17,3,12,16.0,1614.0,21.0
17,CR 18,18,19,1350,0,18,3,12,17.0,1709.0,20.0
18,CR 19,19,19,1425,0,19,3,12,18.0,1807.0,19.0
19,CR 20,20,19,1500,0,20,3,12,19.0,1899.0,18.0
20,CR 21,21,19,1575,0,21,3,12,20.0,1992.0,18.0
21,CR 22,22,19,1650,0,22,3,12,21.0,2116.0,17.0
22,CR 23,23,19,1725,0,23,3,12,22.0,2192.0,16.0
23,CR 24,24,19,1800,0,24,3,12,23.0,2310.0,15.0
24,CR 25,25,19,1875,0,25,3,12,24.0,2414.0,14.0
25,CR 26,26,19,1950,0,26,3,12,25.0,2494.0,13.0
26,CR 27,27,19,2025,0,27,3,12,26.0,2588.0,12.0
27,CR 28,28,19,2100,0,28,3,12,27.0,2698.0,11.0
28,CR 29,29,19,2175,0,29,3,12,28.0,2790.0,10.0
29,CR 30,30,19,2250,0,30,3,12,29.0,2877.0,9.0
