,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,type,match_wins,round_wins,calc_wins
0,CR 1/8,0.125,13,20,0,1,3,2,single monster,0.0,0.0,0.0
1,CR 1/4,0.25,13,35,0,1,3,5,single monster,1.0,106.0,3.0
2,CR 1/2,0.5,13,50,0,1,3,8,single monster,2.0,239.0,6.0
3,CR 1,1.0,13,75,0,1,3,12,single monster,4.0,534.0,10.0
4,CR 2,2.0,13,90,0,1,3,15,single monster,8.0,771.0,15.0
5,CR 3,3.0,13,105,0,1,4,25,single monster,11.0,1149.0,21.0
6,CR 4,4.0,14,120,0,1,5,30,single monster,15.0,1531.0,31.0
7,CR 5,5.0,15,135,0,1,6,35,single monster,19.0,1982.0,39.0
8,CR 6,6.0,15,150,0,2,6,20,single monster,24.0,2293.0,38.0
9,CR 7,7.0,15,165,0,2,6,23,single monster,26.0,2569.0,41.0
10,CR 8,8.0,16,180,0,2,7,28,single monster,30.0,3058.0,50.0
11,CR 9,9.0,16,195,0,2,7,30,single monster,33.0,3325.0,51.0
12,CR 10,10.0,17,210,0,2,7,32,single monster,37.0,3694.0,60.0
13,CR 11,11.0,17,225,0,3,8,24,single monster,41.0,4159.0,63.0
14,CR 12,12.0,17,240,0,3,8,26,single monster,44.0,4386.0,65.0
15,CR 13,13.0,18,255,0,3,8,28,single monster,48.0,4829.0,74.0
16,CR 14,14.0,18,270,0,3,8,30,single monster,52.0,5112.0,75.0
17,CR 15,15.0,18,285,0,3,8,32,single monster,55.0,5332.0,75.0
18,CR 16,16.0,18,300,0,4,9,25,single monster,56.0,5585.0,74.0
19,CR 17,17.0,19,315,0,4,10,27,single monster,60.0,6046.0,95.0
20,CR 18,18.0,19,330,0,4,10,29,single monster,62.0,6247.0,94.0
21,CR 19,19.0,19,345,0,4,10,31,single monster,64.0,6381.0,94.0
22,CR 20,20.0,19,360,0,4,10,33,single monster,66.0,6586.0,95.0
23,CR 21,21.0,19,405,0,5,11,28,single monster,71.0,7083.0,95.0
24,CR 22,22.0,19,450,0,5,11,32,single monster,77.0,7591.0,96.0
25,CR 23,23.0,19,500,0,5,11,36,single monster,80.0,7978.0,96.0
26,CR 24,24.0,19,540,0,5,12,39,single monster,84.0,8348.0,95.0
27,CR 25,25.0,19,585,0,5,12,43,single monster,87.0,8634.0,94.0
28,CR 26,26.0,19,630,0,5,12,47,single monster,89.0,8905.0,93.0
29,CR 27,27.0,19,675,0,5,13,50,single monster,92.0,9263.0,92.0
30,CR 28,28.0,19,720,0,5,13,54,single monster,95.0,9502.0,93.0
31,CR 29,29.0,19,765,0,5,13,57,single monster,97.0,9701.0,93.0
32,CR 30,30.0,19,810,0,5,14,61,single monster,101.0,10024.0,93.0
33,CR 1,1.0,13,75,0,1,3,12,1-30 CR 1 monster(s),5.0,522.0,9.0
34,CR 2,2.0,13,150,0,2,3,12,1-30 CR 1 monster(s),12.0,1268.0,27.0
35,CR 3,3.0,13,225,0,3,3,12,1-30 CR 1 monster(s),23.0,2162.0,35.0
36,CR 4,4.0,14,300,0,4,3,12,1-30 CR 1 monster(s),29.0,2893.0,41.0
37,CR 5,5.0,15,375,0,5,3,12,1-30 CR 1 monster(s),37.0,3609.0,49.0
38,CR 6,6.0,15,450,0,6,3,12,1-30 CR 1 monster(s),40.0,4137.0,57.0
39,CR 7,7.0,15,525,0,7,3,12,1-30 CR 1 monster(s),48.0,4776.0,61.0
40,CR 8,8.0,16,600,0,8,3,12,1-30 CR 1 monster(s),53.0,5308.0,61.0
41,CR 9,9.0,16,675,0,9,3,12,1-30 CR 1 monster(s),57.0,5624.0,64.0
42,CR 10,10.0,17,750,0,10,3,12,1-30 CR 1 monster(s),58.0,5884.0,76.0
43,CR 11,11.0,17,825,0,11,3,12,1-30 CR 1 monster(s),61.0,6157.0,75.0
44,CR 12,12.0,17,900,0,12,3,12,1-30 CR 1 monster(s),66.0,6481.0,74.0
45,CR 13,13.0,18,975,0,13,3,12,1-30 CR 1 monster(s),68.0,6876.0,76.0
46,CR 14,14.0,18,1050,0,14,3,12,1-30 CR 1 monster(s),72.0,7153.0,76.0
47,CR 15,15.0,18,1125,0,15,3,12,1-30 CR 1 monster(s),74.0,7432.0,76.0
48,CR 16,16.0,18,1200,0,16,3,12,1-30 CR 1 monster(s),77.0,7702.0,75.0
49,CR 17,17.0,19,1275,0,17,3,12,1-30 CR 1 monster(s),81.0,8080.0,80.0
50,CR 18,18.0,19,1350,0,18,3,12,1-30 CR 1 monster(s),82.0,8271.0,79.0
51,CR 19,19.0,19,1425,0,19,3,12,1-30 CR 1 monster(s),85.0,8475.0,78.0
52,CR 20,20.0,19,1500,0,20,3,12,1-30 CR 1 monster(s),86.0,8627.0,77.0
53,CR 21,21.0,19,1575,0,21,3,12,1-30 CR 1 monster(s),88.0,8833.0,77.0
54,CR 22,22.0,19,1650,0,22,3,12,1-30 CR 1 monster(s),90.0,8950.0,76.0
55,CR 23,23.0,19,1725,0,23,3,12,1-30 CR 1 monster(s),91.0,9123.0,75.0
56,CR 24,24.0,19,1800,0,24,3,12,1-30 CR 1 monster(s),93.0,9284.0,74.0
57,CR 25,25.0,19,1875,0,25,3,12,1-30 CR 1 monster(s),94.0,9427.0,73.0
58,CR 26,26.0,19,1950,0,26,3,12,1-30 CR 1 monster(s),96.0,9596.0,72.0
59,CR 27,27.0,19,2025,0,27,3,12,1-30 CR 1 monster(s),98.0,9752.0,71.0
60,CR 28,28.0,19,2100,0,28,3,12,1-30 CR 1 monster(s),99.0,9868.0,70.0
61,CR 29,29.0,19,2175,0,29,3,12,1-30 CR 1 monster(s),100.0,10009.0,69.0
62,CR 30,30.0,19,2250,0,30,3,12,1-30 CR 1 monster(s),102.0,10118.0,68.0
63,Party 1,1.0,18,48,0,4,5,7,party of 4 fighters,10.0,1096.0,25.0
64,Party 2,2.0,18,80,0,4,5,7,party of 4 fighters,14.0,1459.0,29.0
