,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
0,,0.0,17,430,0,2,10,53,75.0,7410.0,87.0
1,,0.0,17,571,1,1,14,4,15.0,1493.0,16.0
2,,0.0,18,136,3,4,12,32,56.0,5569.0,72.0
3,,0.0,21,384,0,5,5,59,90.0,9028.0,99.0
4,,0.0,17,309,-4,2,4,22,28.0,2927.0,57.0
5,,0.0,17,504,-5,1,3,27,24.0,2601.0,56.0
6,,0.0,13,122,2,2,11,46,33.0,3302.0,33.0
7,,0.0,16,199,4,3,6,55,50.0,5373.0,69.0
8,,0.0,18,192,-1,5,3,40,50.0,5129.0,88.0
9,,0.0,21,101,1,5,11,9,26.0,2671.0,53.0
10,,0.0,18,98,5,4,12,22,37.0,3778.0,51.0
11,,0.0,17,325,3,3,10,7,25.0,2607.0,38.0
12,,0.0,14,328,5,5,6,38,68.0,6733.0,69.0
13,,0.0,15,524,-2,1,11,31,41.0,4151.0,47.0
14,,0.0,16,787,2,1,4,30,39.0,3882.0,60.0
15,,0.0,16,499,4,4,3,42,69.0,6813.0,88.0
16,,0.0,14,23,5,4,6,25,9.0,858.0,11.0
17,,0.0,21,128,-4,4,5,51,53.0,5343.0,89.0
18,,0.0,20,441,-1,1,7,61,61.0,6136.0,97.0
19,,0.0,13,112,4,4,13,26,38.0,3764.0,29.0
20,,0.0,18,748,1,3,6,29,77.0,7691.0,92.0
21,,0.0,15,446,2,2,11,22,44.0,4675.0,48.0
22,,0.0,20,629,-2,4,7,11,62.0,6294.0,88.0
23,,0.0,18,363,-1,4,13,55,95.0,9338.0,89.0
24,,0.0,20,230,0,3,14,55,84.0,8393.0,89.0
25,,0.0,20,202,-1,4,7,30,59.0,5874.0,84.0
26,,0.0,17,799,5,2,12,37,85.0,8511.0,83.0
27,,0.0,18,766,1,4,7,24,82.0,8185.0,85.0
28,,0.0,13,422,4,4,5,47,69.0,6886.0,62.0
29,,0.0,17,727,-4,2,9,44,80.0,8007.0,82.0
