,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
0,,0.0,16,383,-0.04,3,13,33,66.0,6778.0,86.0
1,,0.0,19,717,-0.38,3,8,45,92.0,9058.0,99.0
2,,0.0,17,432,-0.59,5,14,31,87.0,8664.0,96.0
3,,0.0,17,85,2.23,5,6,23,22.0,2357.0,55.0
4,,0.0,15,660,-1.35,3,12,58,94.0,9235.0,95.0
5,,0.0,17,579,-2.18,5,13,11,63.0,6423.0,84.0
6,,0.0,16,488,0.42,5,13,53,95.0,9539.0,94.0
7,,0.0,17,129,-0.59,3,8,48,36.0,3764.0,71.0
8,,0.0,14,485,-0.62,4,6,61,86.0,8331.0,90.0
9,,0.0,18,206,0.97,3,8,27,38.0,3798.0,75.0
10,,0.0,18,304,0.78,3,3,31,37.0,3799.0,86.0
11,,0.0,19,439,0.86,2,11,20,49.0,4884.0,89.0
12,,0.0,17,163,-1.13,4,13,57,66.0,6795.0,79.0
13,,0.0,17,52,0.92,3,10,20,13.0,1346.0,21.0
14,,0.0,16,494,-1.08,3,13,29,70.0,7134.0,77.0
15,,0.0,17,683,-1.77,2,7,58,80.0,7944.0,91.0
16,,0.0,13,525,-0.48,5,10,45,90.0,9006.0,83.0
17,,0.0,17,675,-1.0,3,11,29,83.0,8083.0,83.0
18,,0.0,15,237,1.77,2,11,55,51.0,5185.0,62.0
19,,0.0,14,26,-2.04,4,8,49,11.0,1551.0,15.0
20,,0.0,13,481,-0.62,2,13,54,75.0,7340.0,66.0
21,,0.0,18,384,0.93,1,14,57,59.0,5804.0,80.0
22,,0.0,13,123,0.29,2,7,33,16.0,1722.0,21.0
23,,0.0,19,684,0.94,3,14,17,76.0,7477.0,88.0
24,,0.0,14,93,2.9,4,9,7,8.0,862.0,7.0
25,,0.0,14,216,0.09,5,5,9,17.0,1776.0,26.0
26,,0.0,16,630,-0.46,4,10,20,70.0,7092.0,72.0
27,,0.0,18,307,2.13,4,5,48,66.0,6826.0,80.0
28,,0.0,17,326,0.58,1,14,47,41.0,4288.0,59.0
29,,0.0,19,617,1.29,4,9,3,25.0,2568.0,62.0
30,,0.0,18,272,-1.16,3,9,7,20.0,1967.0,39.0
31,,0.0,13,512,-3.68,1,9,47,38.0,3845.0,48.0
32,,0.0,17,306,-2.08,3,14,55,83.0,7953.0,75.0
33,,0.0,18,49,0.65,4,13,46,33.0,3536.0,50.0
34,,0.0,16,217,2.18,1,4,18,10.0,969.0,15.0
35,,0.0,17,679,-0.22,2,14,23,64.0,6479.0,67.0
36,,0.0,18,623,-2.05,5,14,5,46.0,4629.0,56.0
37,,0.0,18,306,1.13,4,6,52,74.0,7359.0,78.0
38,,0.0,14,642,0.3,2,12,59,84.0,8357.0,68.0
39,,0.0,19,201,1.0,3,10,17,35.0,3345.0,59.0
40,,0.0,14,328,-1.94,2,5,39,31.0,3254.0,47.0
41,,0.0,14,298,1.85,1,13,4,5.0,461.0,4.0
42,,0.0,14,110,-0.97,1,14,26,14.0,1265.0,7.0
43,,0.0,18,531,-1.25,5,13,51,98.0,9702.0,85.0
44,,0.0,14,547,-1.52,2,12,17,36.0,3800.0,38.0
45,,0.0,13,305,0.09,3,10,58,67.0,6746.0,51.0
46,,0.0,13,215,0.31,5,6,52,59.0,5723.0,51.0
47,,0.0,13,44,-0.91,3,8,4,1.0,143.0,3.0
48,,0.0,18,635,0.86,1,9,39,52.0,5191.0,77.0
49,,0.0,15,125,-0.94,1,14,3,2.0,162.0,1.0
50,,0.0,18,766,-0.01,5,13,38,99.0,9822.0,85.0
51,,0.0,14,249,1.22,4,6,32,43.0,4247.0,46.0
52,,0.0,19,731,-1.19,1,6,42,54.0,5340.0,93.0
53,,0.0,14,502,1.64,5,14,39,92.0,9131.0,57.0
54,,0.0,18,67,1.62,3,13,34,28.0,2785.0,37.0
55,,0.0,17,238,0.68,1,9,20,15.0,1574.0,25.0
56,,0.0,17,575,1.3,4,5,39,79.0,7877.0,68.0
57,,0.0,18,326,0.2,4,9,21,55.0,5532.0,55.0
58,,0.0,18,173,-0.74,1,5,43,20.0,1905.0,42.0
59,,0.0,18,229,2.65,1,10,9,10.0,998.0,17.0
60,,0.0,18,349,-1.94,3,11,49,81.0,7849.0,69.0
61,,0.0,17,441,-1.27,5,4,21,54.0,5443.0,51.0
62,,0.0,18,532,1.04,1,6,2,4.0,352.0,8.0
63,,0.0,14,538,-0.77,2,13,45,74.0,7217.0,49.0
64,,0.0,17,161,0.61,4,3,48,39.0,3813.0,43.0
65,,0.0,14,724,0.85,4,9,25,77.0,7739.0,45.0
66,,0.0,13,685,-0.79,5,4,61,92.0,9021.0,57.0
67,,0.0,13,205,-0.78,3,10,37,41.0,4053.0,28.0
68,,0.0,13,705,1.35,3,11,18,59.0,5917.0,37.0
69,,0.0,14,533,1.13,3,13,57,89.0,8927.0,51.0
70,,0.0,16,710,1.63,1,6,24,29.0,2975.0,41.0
71,,0.0,16,497,-2.12,2,12,22,51.0,4957.0,34.0
72,,0.0,17,447,3.15,4,3,29,54.0,5396.0,49.0
73,,0.0,13,69,-0.65,3,10,2,0.0,40.0,0.0
74,,0.0,14,166,-3.69,4,5,39,30.0,3218.0,27.0
75,,0.0,18,698,-0.29,5,3,30,78.0,7895.0,66.0
76,,0.0,17,438,-1.16,1,8,5,7.0,789.0,10.0
77,,0.0,18,511,1.95,1,14,40,58.0,5602.0,61.0
78,,0.0,16,357,1.06,5,10,28,71.0,7150.0,33.0
79,,0.0,19,649,-0.39,1,9,21,37.0,3663.0,71.0
80,,0.0,13,10,-2.75,3,7,58,4.0,766.0,2.0
81,,0.0,16,726,2.45,2,14,46,87.0,8656.0,57.0
82,,0.0,14,382,-0.71,1,6,10,10.0,1015.0,9.0
83,,0.0,13,456,1.25,1,8,23,22.0,2194.0,21.0
84,,0.0,16,119,0.14,2,8,8,6.0,619.0,5.0
85,,0.0,13,532,1.76,5,4,53,83.0,8216.0,39.0
86,,0.0,15,109,2.68,2,14,36,24.0,2574.0,17.0
87,,0.0,15,145,-2.28,4,3,29,24.0,2388.0,19.0
88,,0.0,17,175,-0.31,5,12,47,72.0,7117.0,29.0
89,,0.0,17,289,-2.05,5,6,20,46.0,4553.0,28.0
90,,0.0,15,98,-0.63,2,7,55,25.0,2373.0,17.0
91,,0.0,16,683,0.53,5,14,40,97.0,9670.0,47.0
92,,0.0,13,771,-1.05,5,5,11,46.0,4657.0,21.0
93,,0.0,14,166,-2.22,3,9,61,48.0,4669.0,23.0
94,,0.0,13,438,-0.36,2,5,13,18.0,1915.0,12.0
95,,0.0,14,765,2.48,1,7,35,40.0,3968.0,36.0
96,,0.0,13,424,-1.5,5,3,41,61.0,6079.0,23.0
97,,0.0,15,346,-0.45,1,5,46,27.0,2577.0,25.0
98,,0.0,19,758,0.63,2,4,29,60.0,5791.0,83.0
99,,0.0,18,698,2.04,5,11,40,96.0,9661.0,71.0
