,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
0,Wizards 1,1,12,24,0,4,5,5,0.0,8.0,3.0
1,Wizards 2,2,12,40,0,4,5,5,1.0,100.0,3.0
2,Wizards 3,3,12,56,0,4,5,5,2.0,214.0,4.0
3,Wizards 4,4,12,72,0,4,5,5,3.0,278.0,4.0
4,Wizards 5,5,12,88,0,4,6,9,4.0,438.0,9.0
5,Wizards 6,6,12,104,0,4,6,9,5.0,497.0,11.0
6,Wizards 7,7,12,124,0,4,7,9,6.0,601.0,11.0
7,Wizards 8,8,12,144,0,4,7,9,7.0,682.0,11.0
8,Wizards 9,9,12,164,0,4,8,9,8.0,823.0,13.0
9,Wizards 10,10,12,184,0,4,8,9,9.0,861.0,13.0
10,Wizards 11,11,12,204,0,4,8,13,10.0,1028.0,13.0
11,Wizards 12,12,12,224,0,4,8,13,11.0,1110.0,12.0
12,Wizards 13,13,12,244,0,4,9,13,12.0,1221.0,11.0
13,Wizards 14,14,12,264,0,4,9,13,13.0,1320.0,11.0
14,Wizards 15,15,12,284,0,4,9,13,14.0,1337.0,10.0
15,Wizards 16,16,12,308,0,4,10,13,15.0,1482.0,10.0
16,Wizards 17,17,12,332,0,4,11,17,16.0,1600.0,11.0
17,Wizards 18,18,12,356,0,4,11,17,18.0,1804.0,10.0
18,Wizards 19,19,12,380,0,4,11,17,19.0,1810.0,10.0
19,Wizards 20,20,12,404,0,4,11,17,17.0,1786.0,10.0
