name,cr,ac,hp,init,att_num,hit_mod,dam_avg
CR 1/8,0.125,13,20,0,1,3,2
CR 1/4,0.25,13,35,0,1,3,5
CR 1/2,0.5,13,50,0,1,3,8
CR 1,1,13,75,0,1,3,12
CR 2,2,13,90,0,1,3,15
CR 3,3,13,105,0,1,4,25
CR 4,4,14,120,0,1,5,30
CR 5,5,15,135,0,1,6,35
CR 6,6,15,150,0,2,6,20
CR 7,7,15,165,0,2,6,23
CR 8,8,16,180,0,2,7,28
CR 9,9,16,195,0,2,7,30
CR 10,10,17,210,0,2,7,32
CR 11,11,17,225,0,3,8,24
CR 12,12,17,240,0,3,8,26
CR 13,13,18,255,0,3,8,28
CR 14,14,18,270,0,3,8,30
CR 15,15,18,285,0,3,8,32
CR 16,16,18,300,0,4,9,25
CR 17,17,19,315,0,4,10,27
CR 18,18,19,330,0,4,10,29
CR 19,19,19,345,0,4,10,31
CR 20,20,19,360,0,4,10,33
CR 21,21,19,405,0,5,11,28
CR 22,22,19,450,0,5,11,32
CR 23,23,19,500,0,5,11,36
CR 24,24,19,540,0,5,12,39
CR 25,25,19,585,0,5,12,43
CR 26,26,19,630,0,5,12,47
CR 27,27,19,675,0,5,13,50
CR 28,28,19,720,0,5,13,54
CR 29,29,19,765,0,5,13,57
CR 30,30,19,810,0,5,14,61
