name,cr,ac,hp,init,att_num,hit_mod,dam_avg
Wizard 1,0.25,12,6,0,1,5,5
Wizard 2,0.5,12,10,0,1,5,5
Wizard 3,0.75,12,14,0,1,5,5
Wizard 4,1,12,18,0,1,5,5
Wizard 5,1.25,12,22,0,1,6,9
Wizard 6,1.5,12,26,0,1,6,9
Wizard 7,1.75,12,31,0,1,7,9
Wizard 8,2,12,36,0,1,7,9
Wizard 9,2.25,12,41,0,1,8,9
Wizard 10,2.5,12,46,0,1,8,9
Wizard 11,2.75,12,51,0,1,8,13
Wizard 12,3,12,56,0,1,8,13
Wizard 13,3.25,12,61,0,1,9,13
Wizard 14,3.5,12,66,0,1,9,13
Wizard 15,3.75,12,71,0,1,9,13
Wizard 16,4,12,77,0,1,10,13
Wizard 17,4.25,12,83,0,1,11,17
Wizard 18,4.5,12,89,0,1,11,17
Wizard 19,4.75,12,95,0,1,11,17
Wizard 20,5,12,101,0,1,11,17
