name,cr,ac,hp,init,att_num,hit_mod,dam_avg
Wizards 1,1,12,24,0,4,5,5
Wizards 2,2,12,40,0,4,5,5
Wizards 3,3,12,56,0,4,5,5
Wizards 4,4,12,72,0,4,5,5
Wizards 5,5,12,88,0,4,6,9
Wizards 6,6,12,104,0,4,6,9
Wizards 7,7,12,124,0,4,7,9
Wizards 8,8,12,144,0,4,7,9
Wizards 9,9,12,164,0,4,8,9
Wizards 10,10,12,184,0,4,8,9
Wizards 11,11,12,204,0,4,8,13
Wizards 12,12,12,224,0,4,8,13
Wizards 13,13,12,244,0,4,9,13
Wizards 14,14,12,264,0,4,9,13
Wizards 15,15,12,284,0,4,9,13
Wizards 16,16,12,308,0,4,10,13
Wizards 17,17,12,332,0,4,11,17
Wizards 18,18,12,356,0,4,11,17
Wizards 19,19,12,380,0,4,11,17
Wizards 20,20,12,404,0,4,11,17
