name,cr,ac,hp,init,att_num,hit_mod,dam_avg
Fighter 1,0.25,18,12,0,1,5,7
Fighter 2,0.5,18,20,0,1,5,7
Fighter 3,0.75,18,28,0,1,5,7
Fighter 4,1,18,36,0,1,5,7
Fighter 5,1.25,18,44,0,2,6,7
Fighter 6,1.5,19,53,0,2,7,8
Fighter 7,1.75,19,62,0,2,7,8
Fighter 8,2,19,71,0,2,7,8
Fighter 9,2.25,19,80,0,2,8,8
Fighter 10,2.5,19,89,0,2,8,8
Fighter 11,2.75,20,98,0,3,8,8
Fighter 12,3,20,107,0,3,8,8
Fighter 13,3.25,20,116,0,3,9,8
Fighter 14,3.5,20,126,0,3,9,9
Fighter 15,3.75,20,136,0,3,9,9
Fighter 16,4,21,146,0,3,9,9
Fighter 17,4.25,21,156,0,4,10,9
Fighter 18,4.5,21,166,0,3,10,9
Fighter 19,4.75,21,176,0,3,10,9
Fighter 20,5,21,186,0,4,10,9
