,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,pair_wins,total_wins
0,Fighter 1,0.25,18,12,0,1,5,7,0.0,46.0
1,Fighter 2,0.5,18,20,0,1,5,7,1.0,109.0
2,Fighter 3,0.75,18,28,0,1,5,7,2.0,180.0
3,Fighter 4,1.0,18,36,0,1,5,7,3.0,266.0
4,Fighter 5,1.25,18,44,0,2,6,7,4.0,419.0
5,Fighter 6,1.5,19,53,0,2,7,8,5.0,566.0
6,Fighter 7,1.75,19,62,0,2,7,8,6.0,616.0
7,Fighter 8,2.0,19,71,0,2,7,8,7.0,684.0
8,Fighter 9,2.25,19,80,0,2,8,8,8.0,761.0
9,Fighter 10,2.5,19,89,0,2,8,8,9.0,857.0
10,Fighter 11,2.75,20,98,0,3,8,8,10.0,1064.0
11,Fighter 12,3.0,20,107,0,3,8,8,11.0,1095.0
12,Fighter 13,3.25,20,116,0,3,9,8,12.0,1209.0
13,Fighter 14,3.5,20,126,0,3,9,9,13.0,1307.0
14,Fighter 15,3.75,20,136,0,3,9,9,14.0,1370.0
15,Fighter 16,4.0,21,146,0,3,9,9,15.0,1506.0
16,Fighter 17,4.25,21,156,0,4,10,9,18.0,1764.0
17,Fighter 18,4.5,21,166,0,3,10,9,16.0,1643.0
18,Fighter 19,4.75,21,176,0,3,10,9,17.0,1661.0
19,Fighter 20,5.0,21,186,0,4,10,9,19.0,1877.0
