name,cr,ac,hp,init,att_num,hit_mod,dam_avg
CR 1,1,13,75,0,1,3,12
CR 2,2,13,150,0,2,3,12
CR 3,3,13,225,0,3,3,12
CR 4,4,14,300,0,4,3,12
CR 5,5,15,375,0,5,3,12
CR 6,6,15,450,0,6,3,12
CR 7,7,15,525,0,7,3,12
CR 8,8,16,600,0,8,3,12
CR 9,9,16,675,0,9,3,12
CR 10,10,17,750,0,10,3,12
CR 11,11,17,825,0,11,3,12
CR 12,12,17,900,0,12,3,12
CR 13,13,18,975,0,13,3,12
CR 14,14,18,1050,0,14,3,12
CR 15,15,18,1125,0,15,3,12
CR 16,16,18,1200,0,16,3,12
CR 17,17,19,1275,0,17,3,12
CR 18,18,19,1350,0,18,3,12
CR 19,19,19,1425,0,19,3,12
CR 20,20,19,1500,0,20,3,12
CR 21,21,19,1575,0,21,3,12
CR 22,22,19,1650,0,22,3,12
CR 23,23,19,1725,0,23,3,12
CR 24,24,19,1800,0,24,3,12
CR 25,25,19,1875,0,25,3,12
CR 26,26,19,1950,0,26,3,12
CR 27,27,19,2025,0,27,3,12
CR 28,28,19,2100,0,28,3,12
CR 29,29,19,2175,0,29,3,12
CR 30,30,19,2250,0,30,3,12
