,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,type,pair_wins,total_wins,calc_wins
0,CR 1/8,0.125,13,20,0,1,3,2,monster,0.0,0.0,0.0
1,CR 1/4,0.25,13,35,0,1,3,5,monster,1.0,154.0,1.0
2,CR 1/2,0.5,13,50,0,1,3,8,monster,4.0,431.0,3.0
3,CR 1,1.0,13,75,0,1,3,12,monster,7.0,699.0,7.0
4,CR 2,2.0,13,90,0,1,3,15,monster,8.0,845.0,9.0
5,CR 3,3.0,13,105,0,1,4,25,monster,12.0,1209.0,10.0
6,CR 4,4.0,14,120,0,1,5,30,monster,16.0,1537.0,15.0
7,CR 5,5.0,15,135,0,1,6,35,monster,18.0,1817.0,22.0
8,CR 6,6.0,15,150,0,2,6,20,monster,20.0,2057.0,21.0
9,CR 7,7.0,15,165,0,2,6,23,monster,23.0,2305.0,27.0
10,CR 8,8.0,16,180,0,2,7,28,monster,29.0,2835.0,33.0
11,CR 9,9.0,16,195,0,2,7,30,monster,30.0,2982.0,32.0
12,CR 10,10.0,17,210,0,2,7,32,monster,32.0,3117.0,35.0
13,CR 11,11.0,17,225,0,3,8,24,monster,33.0,3329.0,35.0
14,CR 12,12.0,17,240,0,3,8,26,monster,34.0,3389.0,34.0
15,CR 13,13.0,18,255,0,3,8,28,monster,35.0,3517.0,38.0
16,CR 14,14.0,18,270,0,3,8,30,monster,36.0,3611.0,39.0
17,CR 15,15.0,18,285,0,3,8,32,monster,37.0,3679.0,39.0
18,CR 16,16.0,18,300,0,4,9,25,monster,38.0,3784.0,38.0
19,CR 17,17.0,19,315,0,4,10,26,monster,39.0,3938.0,44.0
20,CR 18,18.0,19,330,0,4,10,28,monster,40.0,4004.0,44.0
21,CR 19,19.0,19,345,0,4,10,30,monster,41.0,4082.0,44.0
22,CR 20,20.0,19,360,0,4,10,32,monster,42.0,4139.0,45.0
23,CR 21,21.0,19,405,0,5,11,28,monster,43.0,4292.0,45.0
24,CR 22,22.0,19,450,0,5,11,32,monster,44.0,4418.0,46.0
25,CR 23,23.0,19,500,0,5,11,36,monster,45.0,4490.0,46.0
26,CR 24,24.0,19,540,0,5,12,39,monster,46.0,4618.0,45.0
27,CR 25,25.0,19,585,0,5,12,43,monster,47.0,4707.0,44.0
28,CR 26,26.0,19,630,0,5,12,47,monster,48.0,4801.0,43.0
29,CR 27,27.0,19,675,0,5,13,50,monster,49.0,4926.0,43.0
30,CR 28,28.0,19,720,0,5,13,54,monster,50.0,5009.0,43.0
31,CR 29,29.0,19,765,0,5,13,57,monster,51.0,5049.0,43.0
32,CR 30,30.0,19,810,0,5,14,61,monster,52.0,5162.0,43.0
33,Fighter 1,0.25,18,12,0,1,5,7,fighter,2.0,220.0,2.0
34,Fighter 2,0.5,18,20,0,1,5,7,fighter,3.0,322.0,4.0
35,Fighter 3,0.75,18,28,0,1,5,7,fighter,5.0,459.0,5.0
36,Fighter 4,1.0,18,36,0,1,5,7,fighter,6.0,561.0,6.0
37,Fighter 5,1.25,18,44,0,2,6,7,fighter,9.0,864.0,8.0
38,Fighter 6,1.5,19,53,0,2,7,8,fighter,10.0,1109.0,16.0
39,Fighter 7,1.75,19,62,0,2,7,8,fighter,11.0,1166.0,17.0
40,Fighter 8,2.0,19,71,0,2,7,8,fighter,13.0,1262.0,17.0
41,Fighter 9,2.25,19,80,0,2,8,8,fighter,14.0,1388.0,18.0
42,Fighter 10,2.5,19,89,0,2,8,8,fighter,15.0,1487.0,19.0
43,Fighter 11,2.75,20,98,0,3,8,8,fighter,17.0,1833.0,21.0
44,Fighter 12,3.0,20,107,0,3,8,8,fighter,19.0,1917.0,21.0
45,Fighter 13,3.25,20,116,0,3,9,8,fighter,21.0,2077.0,20.0
46,Fighter 14,3.5,20,126,0,3,9,9,fighter,22.0,2241.0,21.0
47,Fighter 15,3.75,20,136,0,3,9,9,fighter,24.0,2366.0,22.0
48,Fighter 16,4.0,20,146,0,3,9,9,fighter,25.0,2474.0,22.0
49,Fighter 17,4.25,20,156,0,3,10,9,fighter,26.0,2619.0,21.0
50,Fighter 18,4.5,20,166,0,3,10,9,fighter,27.0,2689.0,21.0
51,Fighter 19,4.75,20,176,0,3,10,9,fighter,28.0,2747.0,21.0
52,Fighter 20,5.0,20,186,0,4,10,9,fighter,31.0,3067.0,20.0
