,Unnamed: 0,ac,att_num,dam_avg,hit_mod,hp,init,type,pair_wins,total_wins
0,0.0,17,1,26,13,118,2.62,monster,8.0,790.0
1,1.0,13,4,11,3,632,0.9,monster,16.0,1642.0
2,2.0,15,5,13,7,36,1.75,monster,2.0,304.0
3,3.0,17,4,43,10,65,2.03,monster,18.0,1937.0
4,4.0,14,3,14,12,106,-4.17,monster,10.0,934.0
5,5.0,16,4,46,3,327,0.61,monster,33.0,3209.0
6,6.0,16,2,15,13,301,1.92,monster,13.0,1407.0
7,7.0,14,4,51,13,575,-0.81,monster,50.0,5011.0
8,8.0,19,2,34,6,291,1.06,monster,24.0,2521.0
9,9.0,17,2,33,6,625,2.11,monster,34.0,3377.0
10,10.0,15,1,2,6,713,0.41,monster,0.0,27.0
11,11.0,13,1,25,14,154,-1.99,monster,9.0,803.0
12,12.0,16,1,51,6,560,0.28,monster,27.0,2611.0
13,13.0,19,5,14,5,36,0.75,monster,5.0,458.0
14,14.0,19,1,29,5,628,-1.1,monster,21.0,2198.0
15,15.0,15,4,3,14,595,-0.79,monster,12.0,1157.0
16,16.0,16,4,30,9,348,0.07,monster,37.0,3657.0
17,17.0,16,3,31,14,672,0.7,monster,47.0,4571.0
18,18.0,15,4,21,10,218,0.18,monster,25.0,2382.0
19,19.0,14,5,18,3,369,-1.35,monster,20.0,1999.0
20,20.0,13,5,18,11,445,-0.02,monster,34.0,3440.0
21,21.0,17,1,43,3,513,-3.04,monster,17.0,1757.0
22,22.0,16,5,3,11,737,-0.36,monster,14.0,1554.0
23,23.0,15,1,47,8,591,-1.63,monster,30.0,2755.0
24,24.0,17,5,3,10,228,-2.13,monster,7.0,749.0
25,25.0,17,1,51,9,802,-1.57,monster,38.0,3738.0
26,26.0,14,2,18,10,382,-0.07,monster,16.0,1602.0
27,27.0,16,2,51,14,642,-0.39,monster,46.0,4609.0
28,28.0,15,5,14,12,203,2.19,monster,20.0,2123.0
29,29.0,16,4,37,5,400,0.62,monster,36.0,3609.0
30,30.0,15,2,47,13,289,4.22,monster,33.0,3316.0
31,31.0,15,5,23,12,177,0.93,monster,29.0,2773.0
32,32.0,14,2,60,6,701,-0.54,monster,40.0,3991.0
33,,18,4,7,5,48,0.0,party,1.0,108.0
34,,18,4,7,5,80,0.0,party,3.0,289.0
35,,18,4,7,5,112,0.0,party,4.0,436.0
36,,18,4,7,5,144,0.0,party,6.0,611.0
37,,18,8,7,6,176,0.0,party,11.0,1251.0
38,,19,8,8,7,212,0.0,party,20.0,2022.0
39,,19,8,8,7,248,0.0,party,23.0,2295.0
40,,19,8,8,7,284,0.0,party,26.0,2544.0
41,,19,8,8,8,320,0.0,party,28.0,2886.0
42,,19,8,8,8,356,0.0,party,31.0,3054.0
43,,20,12,8,8,392,0.0,party,39.0,3872.0
44,,20,12,8,8,428,0.0,party,41.0,3997.0
45,,20,12,8,9,464,0.0,party,42.0,4157.0
46,,20,12,9,9,504,0.0,party,43.0,4327.0
47,,20,12,9,9,544,0.0,party,44.0,4420.0
48,,21,12,9,9,584,0.0,party,45.0,4586.0
49,,21,16,9,10,624,0.0,party,51.0,5065.0
50,,21,12,9,10,664,0.0,party,48.0,4822.0
51,,21,12,9,10,704,0.0,party,49.0,4886.0
52,,21,16,9,10,744,0.0,party,52.0,5161.0
