,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,pair_wins,total_wins
0,,0.0,13,714,-1.31,2,3,61,18.0,1786.0
1,,0.0,14,615,-0.3,3,14,21,18.0,1761.0
2,,0.0,19,81,0.16,5,10,16,10.0,896.0
3,,0.0,17,50,-1.76,3,5,45,6.0,608.0
4,,0.0,15,62,1.08,2,6,45,3.0,394.0
5,,0.0,19,788,0.13,4,10,4,13.0,1314.0
6,,0.0,18,691,-2.99,1,3,19,8.0,854.0
7,,0.0,13,494,-0.09,3,9,32,16.0,1689.0
8,,0.0,13,773,-1.97,5,9,30,24.0,2468.0
9,,0.0,13,747,-0.64,4,6,60,28.0,2718.0
10,,0.0,15,58,0.6,3,10,11,2.0,217.0
11,,0.0,16,277,-0.71,1,3,46,6.0,649.0
12,,0.0,17,765,2.66,3,10,57,31.0,3018.0
13,,0.0,15,16,0.34,1,5,48,0.0,31.0
14,,0.0,14,60,1.68,1,3,46,1.0,116.0
15,,0.0,16,734,2.9,4,10,46,30.0,2998.0
16,,0.0,17,751,0.45,4,14,33,29.0,2954.0
17,,0.0,18,538,2.43,1,4,23,9.0,900.0
18,,0.0,15,583,1.63,4,11,10,14.0,1432.0
19,,0.0,17,353,-2.19,5,9,61,27.0,2655.0
20,,0.0,15,268,-0.9,4,3,29,12.0,1153.0
21,,0.0,13,385,-0.6,2,10,55,17.0,1682.0
22,,0.0,17,737,-1.66,5,5,60,32.0,3054.0
23,,0.0,14,229,2.35,5,13,60,24.0,2327.0
24,,0.0,13,572,-0.38,2,11,56,21.0,2071.0
25,,0.0,16,667,1.32,4,10,21,20.0,2083.0
26,,0.0,19,188,1.48,5,3,41,16.0,1574.0
27,,0.0,15,191,-0.49,1,4,42,4.0,467.0
28,,0.0,14,349,0.79,4,9,55,22.0,2197.0
29,,0.0,19,437,0.08,1,3,17,6.0,585.0
30,,0.0,13,722,-1.08,5,11,34,26.0,2705.0
31,,0.0,13,119,2.64,3,7,46,11.0,960.0
32,,0.0,13,589,-1.13,5,10,40,24.0,2484.0
